original_name,encoded_name
Air Jordan 1 High Retro OG White Cement,0.428475495
JORDAN X TROPHY ROOM MEN'S JACKET: NAVY,0.428475495
original nike running shoes,0.55858397
WTS nike shoes,0.428475495
Nike Air Force 1 07,0.55858397
AIR JORDAN 1 RETRO HIGH OG Men,0.55858397
Nike Air Max,0.470901103
Authentic Nike Dunk Low,0.55858397
Wts,0.428475495
J1 CORT PURPLE - 10.5 US LEGIT,0.428475495
Air Jordan 1 Low AJ1 Joe 1 grayish red61732,0.55858397
Jordan,0.422691542
Air Jordan 1 High Pollen,0.428475495
NIKE AIR FORCE 1 ANNIVERSARY 'BRONX ORIGINS',0.428475495
Nike Dunk Low SE Barbershop Grey,0.428475495
BNIB Nike Low Dunk USA Sneakers,0.428475495
NIKE AIR MAX 97 SE,0.428475495
nike dunk low panda,0.564542606
Nike Air Max 95,0.428475495
Nike Air Max 90 Off-White Desert Ore,0.55858397
Parra x Nike Dunk SB,0.55858397
Authentic Nike Air Jordon 1 Low,0.55858397
Air Jordan 4 Court Purple,0.428475495
Nike,0.45181603
Air Jordan 1 MID AJ1 Joe 1 Sports Shoes Retro casual basketball shoes,0.55858397
Air Jordan 1 Low Bordeaux,0.428475495
JORDAN 1 LOW GOLF SHOE,0.428475495
Jordan,0.422691542
Nike Blazer Mid 77,0.55858397
RTP Nike Dunk Low Polar Blue,0.564542606
Nike Wmns Dunk Low If Lost Return To,0.55858397
Air Jordan,0.51945511
Nike SB Dunk low Pro Sneakers,0.55858397
Nike Dunk Low Midnight Navy Corduroy,0.564542606
"[AUTHENTIC] [US 8.5/US 9 - M] Nike Dunk Low ""Panda""",0.428475495
Nike Dunk High,0.55858397
Nike Air Max Cirro Slide,0.55858397
Air Jordan 1 High OG  Rebellionaire ,0.428475495
Air Jordan 1 Low Black Medium Grey,0.55858397
Nike Dunk CMFT,0.55858397
Snapback Lebron Nike fashion cap,0.55858397
Nike Air Jordan 4 Lightning 2021,0.428475495
Jordan breathable heightened casual shoes,0.55858397
